# Vendored AUR package sources. Regenerate with: strapd vendor refresh
# name	version	aur-commit	vendored-on
aether	4.29.8-1	0f047f40a200121075ca3cedce59ddf226f2a0f1	2026-09-05
cliamp	2.0.1-1	0e012cbfe1ea6cbbf15e2ada9cf93cca7aaa9ca0	2026-09-05
herdr	0.8.2-1	20fa363dc05c9cf6495a5b63175564029506dfbd	2026-09-05
limine-mkinitcpio-hook	1.38.0-1	0c6f3a88d5928907d79c58bb67c9cb018774f60d	2026-09-05
limine-snapper-sync	1.31.0-1	35aff513bf1f0284380c8592d3de213f00bb6a7b	2026-09-05
localsend	1.18.2-1	11788eb33c9298d611382884e8775fc34f874703	2026-09-05
mangowm	0.16.3-1	439525def2bb4155174ef7eed007042a90f19a61	2026-09-05
mise-bin	2026.9.1-1	733c4928246d5930eca189271203330ffd4d955a	2026-09-05
scenefx0.5	0.5-1	ddd3e0c51b4d5d1b7a2c354664d064f490a99e2e	2026-09-05
tensaku	0.28.0-1	c6fe8f2c6dc43a5c2f0c95df5656037b351dacb7	2026-09-05
ttf-ia-writer	20181225-1	e9aa94080338d7a7f83a561ce64bf30ab4fb24e4	2026-09-05
tzupdate	3.1.0-1	1b3c3bdf6289a348da09eed57d653d3f6dce1956	2026-09-05
ufw-docker	251123-1	76e18ac8c40a4e8f018f4b35289718a29eca3d6d	2026-09-05
xdg-terminal-exec	0.14.3-1	a52e8f23c0be7d482b944c6cf5ddee172da171e4	2026-09-05
yay	13.0.1-1	cb43f84828ab4f9700f7c6f9c6d7a923d4cfaff0	2026-09-05
zig0.15	0.15.2-2	0ff9a44570233b8dba1ed5ace5dc573019341545	2026-09-05
